,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,FlagURL,Latitude,Longitude
21,Asten (gemeente),Restaurant,Golf Course,Snack Place,Gym,Resort,3,Noord-Brabant,16693,70.34,235.9,12900,https://nl.wikipedia.org/wiki/Asten_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Asten.svg,51.403055555556,5.7472222222222
22,Baarle-Nassau,Café,Bar,Friterie,Restaurant,Liquor Store,1,Noord-Brabant,6836,76.27,86.3,12900,https://nl.wikipedia.org/wiki/Baarle-Nassau,https://nl.wikipedia.org/wiki/Bestand:Baarle-Nassau_flag.svg,51.445277777778,4.9305555555556
23,Baarn,Restaurant,Supermarket,Café,Tea Room,Ice Cream Shop,2,Utrecht,24608,32.56,750.6,15100,https://nl.wikipedia.org/wiki/Baarn,https://nl.wikipedia.org/wiki/Bestand:Baarn_flag.svg,52.2125,5.2861111111111
24,Barendrecht,Supermarket,Restaurant,Furniture / Home Store,Pool,Bar,4,Zuid-Holland,48489,20.27,2346.6,14400,https://nl.wikipedia.org/wiki/Barendrecht,https://nl.wikipedia.org/wiki/Bestand:Barendrecht_vlag.svg,51.853055555556,4.5411111111111
25,Barneveld (gemeente),Restaurant,Fast Food Restaurant,Campground,Bath House,Supermarket,3,Gelderland,57563,176.02,311.4,12200,https://nl.wikipedia.org/wiki/Barneveld_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Barneveld_vlag.svg,52.133333333333,5.5833333333333
26,Bedum (gemeente),Soccer Field,Snack Place,Park,Gym / Fitness Center,Skating Rink,3,Groningen,10438,44.58,234.4,12200,https://nl.wikipedia.org/wiki/Bedum_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Bedum.svg,53.283333333333,6.5833333333333
27,Beek (gemeente),Supermarket,Bar,Fast Food Restaurant,River,Restaurant,4,Limburg,15939,21.0,769.2,13400,https://nl.wikipedia.org/wiki/Beek_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Beek_(Limburg).svg,50.939444444444,5.7961111111111
28,Beemster,Supermarket,Café,Restaurant,Shopping Mall,Italian Restaurant,4,Noord-Holland,9702,70.54,126.4,14600,https://nl.wikipedia.org/wiki/Beemster,https://nl.wikipedia.org/wiki/Bestand:Beemster_flag.svg,52.55,4.9277777777778
29,Beesel (gemeente),Clothing Store,Boutique,Movie Theater,Campground,Gastropub,3,Limburg,13478,28.32,476.3,12600,https://nl.wikipedia.org/wiki/Beesel_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Beesel_vlag.svg,51.266944444444,6.0391666666667
30,Berg en Dal (gemeente),Restaurant,Hotel,Park,Bar,Museum,2,Gelderland,34653,44.12,776.2,12800,https://nl.wikipedia.org/wiki/Berg_en_Dal_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Berg_en_Dal_vlag.jpg,51.829166666667,5.9258333333333
31,Bergeijk (gemeente),Restaurant,Diner,Supermarket,Bar,Campground,2,Noord-Brabant,18399,101.04,180.0,13400,https://nl.wikipedia.org/wiki/Bergeijk_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Bergeijk.svg,51.320277777778,5.3591666666667
32,"Bergen (Limburg, gemeente)",Café,Restaurant,History Museum,Bar,Diner,4,Limburg,13104,105.25,124.8,11800,"https://nl.wikipedia.org/wiki/Bergen_(Limburg,_gemeente)",https://nl.wikipedia.org/wiki/Bestand:Bergen_limburg_flag.svg,51.599166666667,6.0336111111111
33,Bergen (Noord-Holland),Restaurant,Park,Café,Coffee Shop,Ice Cream Shop,0,Noord-Holland,29904,97.17,307.5,15500,https://nl.wikipedia.org/wiki/Bergen_(Noord-Holland),https://nl.wikipedia.org/wiki/Bestand:Bergen_(Noord-Holland)_vlag.svg,52.670344444444,4.7054111111111
34,Bergen op Zoom (gemeente),Restaurant,Ice Cream Shop,Fast Food Restaurant,Tennis Court,Gastropub,3,Noord-Brabant,66426,80.76,820.6,12800,https://nl.wikipedia.org/wiki/Bergen_op_Zoom_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Bergen_op_Zoom_vlag.svg,51.5,4.3
35,Berkelland,Restaurant,Café,Supermarket,Campground,Fast Food Restaurant,2,Gelderland,43999,258.72,171.3,12400,https://nl.wikipedia.org/wiki/Berkelland,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Berkelland.svg,52.116666666667,6.5166666666667
36,Bernheze,Bar,Restaurant,Fast Food Restaurant,Supermarket,Bistro,1,Noord-Brabant,30638,89.77,330.8,13200,https://nl.wikipedia.org/wiki/Bernheze,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Bernheze.svg,51.693055555556,5.5252777777778
37,Best,Restaurant,Supermarket,Café,Bar,Furniture / Home Store,2,Noord-Brabant,29570,34.28,840.3,13700,https://nl.wikipedia.org/wiki/Best,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Best_North_Brabant.svg,51.510833333333,5.3922222222222
