,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,FlagURL,Latitude,Longitude
89,Dronten,Park,Restaurant,Golf Course,Shopping Mall,Chinese Restaurant,3,Flevoland,40687,334.35,121.1,12200,https://nl.wikipedia.org/wiki/Dronten,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Dronten.svg,52.522222222222,5.7183333333333
90,Druten,Restaurant,Supermarket,Exhibit,Diner,Bar,2,Gelderland,18788,38.02,481.0,12600,https://nl.wikipedia.org/wiki/Druten,https://nl.wikipedia.org/wiki/Bestand:Druten_vlag.svg,51.888888888889,5.6044444444444
91,Duiven (gemeente),Restaurant,Supermarket,Soccer Field,Beach,Café,4,Gelderland,25393,34.06,747.7,12600,https://nl.wikipedia.org/wiki/Duiven_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Duiven.svg,51.947222222222,6.0211111111111
92,Echt-Susteren,Restaurant,Bar,Ice Cream Shop,Harbor / Marina,Greek Restaurant,2,Limburg,31681,103.2,310.1,12700,https://nl.wikipedia.org/wiki/Echt-Susteren,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Echt-Susteren.svg,51.083333333333,5.8666666666667
93,Edam-Volendam,Café,Restaurant,Bar,Seafood Restaurant,Cheese Shop,1,Noord-Holland,36010,16.31,1783.9,13900,https://nl.wikipedia.org/wiki/Edam-Volendam,https://nl.wikipedia.org/wiki/Bestand:Gemeente_edam-volendam_vlag.svg,52.501944444444,5.0613888888889
94,Ede (gemeente),Campground,Pool,French Restaurant,Diner,Bar,3,Gelderland,114913,318.33,351.4,12900,https://nl.wikipedia.org/wiki/Ede_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Ede.svg,52.05,5.6666666666667
95,Eemnes,Restaurant,Pool,Gym,Park,Italian Restaurant,2,Utrecht,9093,31.03,283.6,14400,https://nl.wikipedia.org/wiki/Eemnes,https://nl.wikipedia.org/wiki/Bestand:Eemnes_vlag.svg,52.253888888889,5.2572222222222
96,Eemsmond,Athletics & Sports,Farm,French Restaurant,Soccer Field,Harbor / Marina,3,Groningen,15520,189.63,83.2,11200,https://nl.wikipedia.org/wiki/Eemsmond,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Eemsmond.svg,53.4,6.6666666666667
97,Eersel (gemeente),Restaurant,Diner,Campground,Supermarket,Soccer Field,2,Noord-Brabant,18886,82.44,223.0,13800,https://nl.wikipedia.org/wiki/Eersel_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Eersel_vlag.svg,51.357222222222,5.3147222222222
98,Eijsden-Margraten,Restaurant,Bar,French Restaurant,Supermarket,Scenic Lookout,1,Limburg,25530,77.4,322.9,13300,https://nl.wikipedia.org/wiki/Eijsden-Margraten,https://nl.wikipedia.org/wiki/Bestand:Eijsden-Margraten_vlag.svg,50.791666666667,5.7561111111111
99,Eindhoven,Restaurant,Coffee Shop,Café,Bar,French Restaurant,0,Noord-Brabant,229637,87.75,2551.3,13400,https://nl.wikipedia.org/wiki/Eindhoven,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Eindhoven.svg,51.435555555556,5.4805555555556
100,Elburg (gemeente),Restaurant,Snack Place,Bistro,Golf Course,Breakfast Spot,3,Gelderland,23067,63.83,358.8,12100,https://nl.wikipedia.org/wiki/Elburg_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Elburg_vlag.svg,52.45,5.85
101,Emmen (gemeente),Supermarket,Restaurant,Fast Food Restaurant,Chinese Restaurant,Exhibit,4,Drenthe,107167,337.48,319.1,11900,https://nl.wikipedia.org/wiki/Emmen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Emmen_vlag.svg,52.783333333333,6.8833333333333
102,Enkhuizen,Bar,Café,Diner,Pizza Place,French Restaurant,3,Noord-Holland,18472,12.42,1481.1,12900,https://nl.wikipedia.org/wiki/Enkhuizen,https://nl.wikipedia.org/wiki/Bestand:Enkhuizen_vlag.svg,52.703611111111,5.2852777777778
103,Enschede,Restaurant,Theater,Italian Restaurant,Park,Supermarket,4,Overijssel,157907,141.09,1122.0,11500,https://nl.wikipedia.org/wiki/Enschede,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Enschede.svg,52.219444444444,6.8963888888889
104,Epe (gemeente),Restaurant,Steakhouse,French Restaurant,Café,Playground,2,Gelderland,32978,156.21,206.1,13100,https://nl.wikipedia.org/wiki/Epe_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Epe.svg,52.333333333333,5.9166666666667
105,Ermelo (gemeente),Restaurant,Hotel,Diner,Tapas Restaurant,Café,2,Gelderland,26761,85.67,306.6,13700,https://nl.wikipedia.org/wiki/Ermelo_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Ermelo_vlag.svg,52.283333333333,5.6666666666667
106,Etten-Leur,Restaurant,Supermarket,Furniture / Home Store,Café,Electronics Store,2,Noord-Brabant,43498,55.46,767.2,13100,https://nl.wikipedia.org/wiki/Etten-Leur,https://nl.wikipedia.org/wiki/Bestand:Etten-Leur_vlag.svg,51.570555555556,4.6355555555556
107,Ferwerderadeel,Restaurant,Food,Soccer Field,Supermarket,Chinese Restaurant,3,Friesland,8677,97.65,89.4,11400,https://nl.wikipedia.org/wiki/Ferwerderadeel,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Ferwerderadiel.svg,53.329444444444,5.8408333333333
108,Geertruidenberg (gemeente),Restaurant,Supermarket,Tapas Restaurant,Café,Gym,3,Noord-Brabant,21504,27.02,799.7,13300,https://nl.wikipedia.org/wiki/Geertruidenberg_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Geertruidenberg_vlag.svg,51.700833333333,4.8602777777778
109,Geldermalsen (gemeente),Restaurant,Diner,Sandwich Place,Chinese Restaurant,Bar,2,Gelderland,26964,99.7,263.5,13800,https://nl.wikipedia.org/wiki/Geldermalsen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Geldermalsen.svg,51.883333333333,5.2833333333333
110,Geldrop-Mierlo,Restaurant,Park,Ice Cream Shop,Hotel,Diner,2,Noord-Brabant,39458,31.06,1251.3,13700,https://nl.wikipedia.org/wiki/Geldrop-Mierlo,https://nl.wikipedia.org/wiki/Bestand:Geldrop-Mierlo_vlag.svg,51.433611111111,5.5880555555556
111,Gemert-Bakel,Restaurant,Café,French Restaurant,Supermarket,Food Court,2,Noord-Brabant,30429,122.75,240.9,12500,https://nl.wikipedia.org/wiki/Gemert-Bakel,https://nl.wikipedia.org/wiki/Bestand:Gemert-Bakel_vlag.svg,51.531111111111,5.7194444444444
112,Gennep (gemeente),Restaurant,Café,Ice Cream Shop,Diner,Supermarket,2,Limburg,17007,48.02,358.3,13000,https://nl.wikipedia.org/wiki/Gennep_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Gennep.svg,51.694166666667,5.9733333333333
113,Giessenlanden,Bar,Restaurant,Snack Place,Park,Sandwich Place,3,Zuid-Holland,14564,63.57,227.9,14100,https://nl.wikipedia.org/wiki/Giessenlanden,https://nl.wikipedia.org/wiki/Bestand:Giessenlanden_vlag.svg,51.881666666667,4.8955555555556
114,Gilze en Rijen,Bar,Playground,French Restaurant,Creperie,Supermarket,4,Noord-Brabant,26399,65.54,398.1,12800,https://nl.wikipedia.org/wiki/Gilze_en_Rijen,https://nl.wikipedia.org/wiki/Bestand:Gilze_en_Rijen_vlag.svg,51.561388888889,4.9333333333333
115,Goeree-Overflakkee,Harbor / Marina,Seafood Restaurant,Restaurant,Shopping Mall,Lake,3,Zuid-Holland,49313,262.03,184.1,13000,https://nl.wikipedia.org/wiki/Goeree-Overflakkee,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Goeree-Overflakkee.png,51.749138888889,4.1294861111111
116,Goes (gemeente),Harbor / Marina,Restaurant,Café,Beach,Bar,2,Zeeland,37632,92.84,400.6,13400,https://nl.wikipedia.org/wiki/Goes_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Goes.svg,51.514722222222,3.8258333333333
117,Goirle (gemeente),Zoo Exhibit,Bar,Café,Restaurant,Coffee Shop,1,Noord-Brabant,23562,42.04,546.8,14000,https://nl.wikipedia.org/wiki/Goirle_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Goirle_vlag.svg,51.52028,5.067101
118,Gorinchem,Restaurant,Diner,Café,Bar,Golf Course,2,Zuid-Holland,36439,18.96,1856.6,12800,https://nl.wikipedia.org/wiki/Gorinchem,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Gorinchem.svg,51.830555555556,4.9741666666667
119,Gouda (hoofdbetekenis),Café,Park,Restaurant,Shopping Mall,Supermarket,4,Zuid-Holland,72825,16.92,4197.3,13400,https://nl.wikipedia.org/wiki/Gouda_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Gouda.svg,52.018055555556,4.7055555555556
120,Grave (gemeente),Restaurant,Supermarket,Café,Diner,Hotel,2,Noord-Brabant,12416,27.21,470.9,12700,https://nl.wikipedia.org/wiki/Grave_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Grave_vlag.svg,51.759166666667,5.7383333333333
121,Groningen (gemeente),Coffee Shop,Restaurant,Café,Bakery,Bar,0,Groningen,202332,79.59,2515.5,12300,https://nl.wikipedia.org/wiki/Groningen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Groningen_City.svg,53.216666666667,6.5666666666667
122,Grootegast (gemeente),Restaurant,Garden,Athletics & Sports,Supermarket,Café,3,Groningen,12148,86.88,139.7,11400,https://nl.wikipedia.org/wiki/Grootegast_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Grootegast.svg,53.209116666667,6.2673555555556
123,Gulpen-Wittem,Restaurant,Gastropub,Bar,Supermarket,Hotel,5,Limburg,14247,73.18,199.6,13000,https://nl.wikipedia.org/wiki/Gulpen-Wittem,https://nl.wikipedia.org/wiki/Bestand:Gulpen-Wittem_flag.svg,50.816111111111,5.8983333333333
124,Haaksbergen,Restaurant,Café,Supermarket,Grocery Store,Hotel,3,Overijssel,24282,104.92,231.7,12600,https://nl.wikipedia.org/wiki/Haaksbergen,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Haaksbergen.svg,52.154722222222,6.7419444444444
125,Haaren (gemeente),Café,Restaurant,Supermarket,Diner,Mediterranean Restaurant,0,Noord-Brabant,14157,57.67,234.7,13900,https://nl.wikipedia.org/wiki/Haaren_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Haaren_vlag.svg,51.601666666667,5.2227777777778
126,Haarlem,Restaurant,Bar,Café,Coffee Shop,Sandwich Place,0,Noord-Holland,160287,29.32,5356.7,14200,https://nl.wikipedia.org/wiki/Haarlem,https://nl.wikipedia.org/wiki/Bestand:Flag_Haarlem.svg,52.380277777778,4.6405555555556
127,Haarlemmerliede en Spaarnwoude,Restaurant,Golf Course,Brewery,Flower Shop,Campground,3,Noord-Holland,5885,19.25,288.0,14700,https://nl.wikipedia.org/wiki/Haarlemmerliede_en_Spaarnwoude,https://nl.wikipedia.org/wiki/Bestand:Haarlemmerliede_en_Spaarnwoude_vlag.svg,52.397222222222,4.7119444444444
128,Haarlemmermeer,Park,Shopping Mall,Restaurant,Pizza Place,Supermarket,4,Noord-Holland,147532,179.76,801.6,14400,https://nl.wikipedia.org/wiki/Haarlemmermeer,https://nl.wikipedia.org/wiki/Bestand:Haarlemmermeer_vlag.svg,52.300833333333,4.6652777777778
129,Halderberge,Restaurant,Bar,Supermarket,Café,Diner,1,Noord-Brabant,29894,74.64,395.6,13500,https://nl.wikipedia.org/wiki/Halderberge,https://nl.wikipedia.org/wiki/Bestand:Halderberge_vlag.svg,51.587222222222,4.5166666666667
130,Hardenberg (gemeente),Restaurant,Campground,Soccer Field,Chinese Restaurant,Resort,3,Overijssel,60544,312.87,190.3,11800,https://nl.wikipedia.org/wiki/Hardenberg_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Hardenberg.svg,52.566666666667,6.6
131,Harderwijk (Gelderland),Café,Beach,Plaza,Diner,Hotel,3,Gelderland,46907,38.46,1190.5,12700,https://nl.wikipedia.org/wiki/Harderwijk_(Gelderland),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Harderwijk.svg,52.35,5.6166666666667
132,Hardinxveld-Giessendam,Soccer Field,Diner,Furniture / Home Store,Bar,Vegetarian / Vegan Restaurant,3,Zuid-Holland,17912,16.91,1051.7,12400,https://nl.wikipedia.org/wiki/Hardinxveld-Giessendam,https://nl.wikipedia.org/wiki/Bestand:Hardinxveldgiessendam_flag.svg,51.828138888889,4.852525
133,Haren (Groningen),Restaurant,Hockey Field,Hotel,Soccer Field,Pool,3,Groningen,19895,45.69,418.8,16300,https://nl.wikipedia.org/wiki/Haren_(Groningen),https://nl.wikipedia.org/wiki/Bestand:Haren_vlag.svg,53.166666666667,6.6
134,Harlingen (gemeente),Restaurant,Café,Diner,Soccer Field,Italian Restaurant,3,Friesland,15766,25.18,627.1,12000,https://nl.wikipedia.org/wiki/Harlingen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Harlingen_flag.svg,53.173530555556,5.4337694444444
135,Hattem,Restaurant,Museum,Ice Cream Shop,Café,Park,3,Gelderland,12112,23.12,510.1,13700,https://nl.wikipedia.org/wiki/Hattem,https://nl.wikipedia.org/wiki/Bestand:Hattem_vlag.svg,52.483333333333,6.0666666666667
136,Heemskerk (hoofdbetekenis),Supermarket,Flea Market,Café,Diner,Restaurant,4,Noord-Holland,39145,27.48,1427.3,13700,https://nl.wikipedia.org/wiki/Heemskerk_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Heemskerk_vlag.svg,52.510833333333,4.6727777777778
137,Heemstede (Noord-Holland),Furniture / Home Store,Restaurant,Supermarket,French Restaurant,Gym,4,Noord-Holland,27134,9.2,2879.5,17800,https://nl.wikipedia.org/wiki/Heemstede_(Noord-Holland),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Heemstede.svg,52.352777777778,4.62
138,Heerde (gemeente),Restaurant,Museum,Café,Ice Cream Shop,Campground,2,Gelderland,18618,78.73,234.9,13100,https://nl.wikipedia.org/wiki/Heerde_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Heerde.svg,52.4,6.05
139,Heerenveen (gemeente),Supermarket,Restaurant,Café,Scenic Lookout,Soccer Field,4,Friesland,50201,135.18,371.1,12900,https://nl.wikipedia.org/wiki/Heerenveen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Heerenveen_flag.svg,52.965833333333,6.0502777777778
140,Heerhugowaard,Restaurant,Museum,Flower Shop,Spanish Restaurant,Garden Center,3,Noord-Holland,56134,39.25,1368.0,13100,https://nl.wikipedia.org/wiki/Heerhugowaard,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Heerhugowaard.svg,52.668333333333,4.8405555555556
141,Heerlen,Furniture / Home Store,Restaurant,Fast Food Restaurant,Sandwich Place,Department Store,4,Limburg,86766,45.04,1941.1,12300,https://nl.wikipedia.org/wiki/Heerlen,https://nl.wikipedia.org/wiki/Bestand:Heerlen_vlag.svg,50.886388888889,5.9775
142,Heeze-Leende,Restaurant,Bar,Gym / Fitness Center,Hotel,Supermarket,1,Noord-Brabant,15911,103.93,149.5,14600,https://nl.wikipedia.org/wiki/Heeze-Leende,https://nl.wikipedia.org/wiki/Bestand:Heeze-Leende_vlag.svg,51.367222222222,5.5575
143,Heiloo,Restaurant,Coffee Shop,French Restaurant,Café,Park,2,Noord-Holland,23211,18.79,1201.6,15500,https://nl.wikipedia.org/wiki/Heiloo,https://nl.wikipedia.org/wiki/Bestand:Heiloo_vlag.svg,52.601111111111,4.7019444444444
144,Hellendoorn (gemeente),National Park,Restaurant,Camera Store,Chinese Restaurant,Garden Center,3,Overijssel,35792,138.15,257.6,12300,https://nl.wikipedia.org/wiki/Hellendoorn_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Hellendoorn_vlag.svg,52.388486111111,6.4496611111111
145,Hellevoetsluis,Supermarket,Beach,Restaurant,Campground,Food,4,Zuid-Holland,39931,31.57,1228.7,13500,https://nl.wikipedia.org/wiki/Hellevoetsluis,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Hellevoetsluis.svg,51.8325,4.1383333333333
146,Helmond,Restaurant,Ice Cream Shop,Café,Shopping Mall,French Restaurant,2,Noord-Brabant,91024,53.2,1687.9,12300,https://nl.wikipedia.org/wiki/Helmond,https://nl.wikipedia.org/wiki/Bestand:Helmond_vlag.svg,51.477777777778,5.6527777777778
147,Hendrik-Ido-Ambacht,Restaurant,Supermarket,French Restaurant,Café,Park,3,Zuid-Holland,30801,10.73,2721.2,13400,https://nl.wikipedia.org/wiki/Hendrik-Ido-Ambacht,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Hendrik-Ido-Ambacht.svg,51.845277777778,4.64
148,Hengelo (Overijssel),Soccer Field,Shopping Mall,Supermarket,Bakery,Bar,4,Overijssel,80626,61.06,1327.7,12600,https://nl.wikipedia.org/wiki/Hengelo_(Overijssel),"https://nl.wikipedia.org/wiki/Bestand:Flag_of_Hengelo,_Overijssel.svg",52.265555555556,6.7930555555556
149,Heumen (gemeente),Restaurant,Supermarket,Hotel,Café,Hockey Field,2,Gelderland,16440,39.89,410.2,14000,https://nl.wikipedia.org/wiki/Heumen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Heumen_vlag.svg,51.765555555556,5.8433333333333
150,Heusden (gemeente),Restaurant,Supermarket,Diner,Café,Ice Cream Shop,2,Noord-Brabant,43756,78.88,546.5,13200,https://nl.wikipedia.org/wiki/Heusden_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Heusden.svg,51.704166666667,5.1686111111111
151,Hillegom,Restaurant,Park,Fast Food Restaurant,Supermarket,Garden Center,4,Zuid-Holland,21929,12.87,1637.3,14100,https://nl.wikipedia.org/wiki/Hillegom,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Hillegom.svg,52.291666666667,4.5794444444444
152,Hilvarenbeek (gemeente),Bar,Restaurant,Zoo Exhibit,Gastropub,Café,1,Noord-Brabant,15350,94.92,159.0,13700,https://nl.wikipedia.org/wiki/Hilvarenbeek_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Hilvarenbeek_vlag.svg,51.486111111111,5.1366666666667
153,Hilversum,Restaurant,Italian Restaurant,Coffee Shop,Ice Cream Shop,Café,0,Noord-Holland,89660,45.59,1910.8,15100,https://nl.wikipedia.org/wiki/Hilversum,https://nl.wikipedia.org/wiki/Bestand:Hilversum_vlag.svg,52.223611111111,5.1780555555556
154,Hof van Twente,Restaurant,Castle,Café,Ice Cream Shop,Soccer Field,3,Overijssel,34880,213.18,163.8,13100,https://nl.wikipedia.org/wiki/Hof_van_Twente,https://nl.wikipedia.org/wiki/Bestand:Hof_van_Twente_vlag.svg,52.236313888889,6.5902527777778
155,Hollands Kroon (gemeente),Restaurant,Beach,Café,Ice Cream Shop,Supermarket,5,Noord-Holland,47615,357.6,132.9,12759,https://nl.wikipedia.org/wiki/Hollands_Kroon_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Hollands_kroon_vlag.svg,52.878255555556,4.8113888888889
156,Hoogeveen (gemeente),Supermarket,Café,Restaurant,French Restaurant,Asian Restaurant,3,Drenthe,55647,127.77,430.0,11900,https://nl.wikipedia.org/wiki/Hoogeveen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Hoogeveen.svg,52.716666666667,6.4666666666667
157,Hoorn (Noord-Holland),Harbor / Marina,Restaurant,History Museum,Diner,Supermarket,4,Noord-Holland,72970,19.31,3723.2,13300,https://nl.wikipedia.org/wiki/Hoorn_(Noord-Holland),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Hoorn.svg,52.652222222222,5.0663888888889
158,Horst aan de Maas,Restaurant,Supermarket,Bar,Café,Hotel,1,Limburg,42243,188.6,224.0,12600,https://nl.wikipedia.org/wiki/Horst_aan_de_Maas,https://nl.wikipedia.org/wiki/Bestand:Horst_aan_de_Maas_vlag.svg,51.436944444444,6.1061111111111
159,Houten,Restaurant,Golf Course,Fast Food Restaurant,Pool,Chinese Restaurant,3,Utrecht,49761,55.71,873.8,14200,https://nl.wikipedia.org/wiki/Houten,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Houten.svg,52.026111111111,5.1727777777778
160,Huizen,Restaurant,Italian Restaurant,Garden,Ice Cream Shop,Pool,2,Noord-Holland,41241,15.77,2614.6,14700,https://nl.wikipedia.org/wiki/Huizen,https://nl.wikipedia.org/wiki/Bestand:Huizen_vlag.svg,52.299444444444,5.2530555555556
161,Hulst (gemeente),Restaurant,Plaza,Bar,Campground,French Restaurant,2,Zeeland,27503,201.48,136.0,13100,https://nl.wikipedia.org/wiki/Hulst_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Hulst_vlag.svg,51.315833333333,4.0538888888889
162,IJsselstein,Restaurant,Shopping Mall,Supermarket,Farm,Creperie,4,Utrecht,34181,21.17,1606.1,13900,https://nl.wikipedia.org/wiki/IJsselstein,https://nl.wikipedia.org/wiki/Bestand:Flag_of_IJsselstein.svg,52.02,5.0422222222222
163,Kaag en Braassem,Restaurant,Grocery Store,Hotel,Gym,Music Store,3,Zuid-Holland,26661,63.47,407.6,,https://nl.wikipedia.org/wiki/Kaag_en_Braassem,https://nl.wikipedia.org/wiki/Bestand:Vlag_van_Kaag_en_Braassem.svg,52.2025,4.6313888888889
164,Kampen (gemeente),Harbor / Marina,Park,Diner,Gym,Mediterranean Restaurant,3,Overijssel,53372,141.34,365.0,11800,https://nl.wikipedia.org/wiki/Kampen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Kampen.svg,52.55,5.9
165,Kapelle (gemeente),Restaurant,Beach,Bar,Seafood Restaurant,Supermarket,1,Zeeland,12712,37.14,338.6,12900,https://nl.wikipedia.org/wiki/Kapelle_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Kapelle.svg,51.5,3.95
166,Katwijk (Zuid-Holland),Beach,Restaurant,Beach Bar,Diner,Café,5,Zuid-Holland,65023,24.65,2595.5,12500,https://nl.wikipedia.org/wiki/Katwijk_(Zuid-Holland),https://nl.wikipedia.org/wiki/Bestand:Katwijk_vlag.svg,52.200833333333,4.4152777777778
167,Kerkrade (gemeente),Supermarket,Italian Restaurant,Hotel,Plaza,Restaurant,4,Limburg,45612,21.93,2112.7,12000,https://nl.wikipedia.org/wiki/Kerkrade_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Kerkrade.svg,50.864722222222,6.0605555555556
168,Koggenland,Restaurant,Gym,Hockey Field,Supermarket,Pharmacy,3,Noord-Holland,22688,80.85,277.1,13300,https://nl.wikipedia.org/wiki/Koggenland,https://nl.wikipedia.org/wiki/Bestand:Koggenland_vlag.svg,52.648897222222,4.9397277777778
169,Kollumerland en Nieuwkruisland,Restaurant,Supermarket,Gym / Fitness Center,Resort,Chinese Restaurant,3,Friesland,12760,109.89,116.5,11200,https://nl.wikipedia.org/wiki/Kollumerland_en_Nieuwkruisland,https://nl.wikipedia.org/wiki/Bestand:Kollumerland_c.a._flag.svg,53.299697222222,6.1770638888889
170,Korendijk,Supermarket,Restaurant,Shopping Mall,Harbor / Marina,Steakhouse,3,Zuid-Holland,11154,77.91,138.1,13400,https://nl.wikipedia.org/wiki/Korendijk,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Korendijk.svg,51.759166666667,4.3122222222222
171,Krimpen aan den IJssel,Restaurant,Shopping Mall,Golf Course,Park,Café,4,Zuid-Holland,29286,7.83,3694.8,13900,https://nl.wikipedia.org/wiki/Krimpen_aan_den_IJssel,https://nl.wikipedia.org/wiki/Bestand:Krimpen_aan_den_Ijssel_vlag.svg,51.916666666667,4.6
172,Krimpenerwaard (gemeente),Restaurant,Café,History Museum,Sandwich Place,Bar,0,Zuid-Holland,55660,161.3,336.6,,https://nl.wikipedia.org/wiki/Krimpenerwaard_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Krimpen_aan_den_Ijssel_vlag.svg,51.983333333333,4.7833333333333
173,Laarbeek (gemeente),Restaurant,French Restaurant,Ice Cream Shop,Café,Park,2,Noord-Brabant,22206,55.36,395.7,13000,https://nl.wikipedia.org/wiki/Laarbeek_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Laarbeek.svg,51.516111111111,5.6208333333333
174,Landerd,Restaurant,Diner,Supermarket,Clothing Store,Bar,2,Noord-Brabant,15440,70.4,216.8,12900,https://nl.wikipedia.org/wiki/Landerd,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Landerd.svg,51.718611111111,5.655
175,Landgraaf (gemeente),Restaurant,Italian Restaurant,Supermarket,Bar,Zoo Exhibit,2,Limburg,37607,24.6,1521.6,12500,https://nl.wikipedia.org/wiki/Landgraaf_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Landgraaf.svg,50.908333333333,6.0297222222222
176,Landsmeer,Café,Restaurant,Fast Food Restaurant,Supermarket,Park,4,Noord-Holland,11440,22.54,481.5,15500,https://nl.wikipedia.org/wiki/Landsmeer,https://nl.wikipedia.org/wiki/Bestand:Landsmeer_vlag.svg,52.466111111111,4.9230555555556
177,Langedijk,Playground,Shopping Mall,Restaurant,Supermarket,Zoo Exhibit,3,Noord-Holland,27914,24.15,1129.1,13500,https://nl.wikipedia.org/wiki/Langedijk,https://nl.wikipedia.org/wiki/Bestand:Langedijk_vlag.svg,52.693611111111,4.7944444444444
178,Lansingerland,Restaurant,Supermarket,Bar,Italian Restaurant,Gym,2,Zuid-Holland,61257,54.0,1077.0,14600,https://nl.wikipedia.org/wiki/Lansingerland,https://nl.wikipedia.org/wiki/Bestand:Flag_Lansingerland.svg,51.998611111111,4.5038888888889
179,Laren (Noord-Holland),Restaurant,Park,Soccer Field,Café,Hockey Field,2,Noord-Holland,11176,12.22,890.2,20000,https://nl.wikipedia.org/wiki/Laren_(Noord-Holland),"https://nl.wikipedia.org/wiki/Bestand:Flag_of_Laren,_North_Holland.svg",52.2564,5.22475
180,Leek (Groningen),Restaurant,Café,Sauna / Steam Room,Gym / Fitness Center,Outdoors & Recreation,3,Groningen,19680,63.57,306.3,12400,https://nl.wikipedia.org/wiki/Leek_(Groningen),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Leek.svg,53.15,6.3833333333333
181,Leerdam (hoofdbetekenis),Restaurant,Bar,Park,Café,Supermarket,3,Zuid-Holland,21069,33.79,609.9,12400,https://nl.wikipedia.org/wiki/Leerdam_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Leerdam_flag.svg,51.893888888889,5.0913888888889
182,Leeuwarden (gemeente),Supermarket,Bar,Plaza,Electronics Store,Museum,4,Friesland,122335,151.7,711.0,12300,https://nl.wikipedia.org/wiki/Leeuwarden_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Leeuwarden.svg,53.192047222222,5.7966611111111
183,Leiden (hoofdbetekenis),Restaurant,Café,Bar,Pub,Coffee Shop,0,Zuid-Holland,124294,21.95,5546.9,13700,https://nl.wikipedia.org/wiki/Leiden_(hoofdbetekenis),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Leiden.svg,52.157222222222,4.4925
184,Leiderdorp,Supermarket,Restaurant,Furniture / Home Store,Shopping Mall,Park,4,Zuid-Holland,27189,11.73,2296.5,14900,https://nl.wikipedia.org/wiki/Leiderdorp,https://nl.wikipedia.org/wiki/Bestand:Leiderdorp_vlag.svg,52.161666666667,4.5283333333333
