,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,Latitude,Longitude
22,Baarle-Nassau,Bistro,Café,Sandwich Place,Supermarket,Snack Place,1,Noord-Brabant,6836,76.27,86.3,12900,https://nl.wikipedia.org/wiki/Baarle-Nassau,51.445277777778,4.9305555555556
23,Baarn,Restaurant,French Restaurant,Café,Ice Cream Shop,Supermarket,1,Utrecht,24608,32.56,750.6,15100,https://nl.wikipedia.org/wiki/Baarn,52.2125,5.2861111111111
24,Barendrecht,Furniture / Home Store,Supermarket,Skating Rink,Gym / Fitness Center,Fast Food Restaurant,1,Zuid-Holland,48489,20.27,2346.6,14400,https://nl.wikipedia.org/wiki/Barendrecht,51.853055555556,4.5411111111111
25,Barneveld,Restaurant,Supermarket,Fast Food Restaurant,Pizza Place,Garden Center,3,Gelderland,57563,176.02,311.4,12200,https://nl.wikipedia.org/wiki/Barneveld_(gemeente),52.133333333333,5.5833333333333
26,Bedum,Soccer Field,Snack Place,Supermarket,Grocery Store,Pharmacy,5,Groningen,10438,44.58,234.4,12200,https://nl.wikipedia.org/wiki/Bedum_(gemeente),53.283333333333,6.5833333333333
27,Beek,Diner,Clothing Store,Supermarket,Soccer Field,Garden Center,0,Limburg,15939,21.0,769.2,13400,https://nl.wikipedia.org/wiki/Beek_(gemeente),50.939444444444,5.7961111111111
28,Beemster,Restaurant,Supermarket,Flower Shop,Argentinian Restaurant,Cheese Shop,5,Noord-Holland,9702,70.54,126.4,14600,https://nl.wikipedia.org/wiki/Beemster,52.55,4.9277777777778
29,Beesel,Soccer Field,Farm,River,Diner,Amphitheater,0,Limburg,13478,28.32,476.3,12600,https://nl.wikipedia.org/wiki/Beesel_(gemeente),51.266944444444,6.0391666666667
30,Berg en Dal,Hotel,Restaurant,Supermarket,Museum,Bar,5,Gelderland,34653,44.12,776.2,12800,https://nl.wikipedia.org/wiki/Berg_en_Dal_(gemeente),51.829166666667,5.9258333333333
31,Bergeijk,Restaurant,Diner,Campground,Supermarket,Soccer Field,3,Noord-Brabant,18399,101.04,180.0,13400,https://nl.wikipedia.org/wiki/Bergeijk_(gemeente),51.320277777778,5.3591666666667
32,"Bergen (Limburg, gemeente)",Campground,Restaurant,Supermarket,Lake,Soccer Field,5,Limburg,13104,105.25,124.8,11800,"https://nl.wikipedia.org/wiki/Bergen_(Limburg,_gemeente)",51.599166666667,6.0336111111111
33,Bergen (Noord-Holland),Restaurant,Café,Coffee Shop,Bistro,Park,4,Noord-Holland,29904,97.17,307.5,15500,https://nl.wikipedia.org/wiki/Bergen_(Noord-Holland),52.670344444444,4.7054111111111
34,Bergen op Zoom,Restaurant,Ice Cream Shop,Fast Food Restaurant,Supermarket,Coffee Shop,4,Noord-Brabant,66426,80.76,820.6,12800,https://nl.wikipedia.org/wiki/Bergen_op_Zoom_(gemeente),51.5,4.3
35,Berkelland,Restaurant,Gym,Athletics & Sports,Snack Place,Garden Center,3,Gelderland,43999,258.72,171.3,12400,https://nl.wikipedia.org/wiki/Berkelland,52.116666666667,6.5166666666667
36,Bernheze,Café,Supermarket,Fast Food Restaurant,Trail,Market,2,Noord-Brabant,30638,89.77,330.8,13200,https://nl.wikipedia.org/wiki/Bernheze,51.693055555556,5.5252777777778
37,Best,Restaurant,Supermarket,Ice Cream Shop,Outdoor Sculpture,Chinese Restaurant,3,Noord-Brabant,29570,34.28,840.3,13700,https://nl.wikipedia.org/wiki/Best,51.510833333333,5.3922222222222
38,Beuningen (Gelderland),Garden Center,Soccer Field,Farm,Outdoor Sculpture,Sporting Goods Shop,5,Gelderland,25833,43.86,575.9,13100,https://nl.wikipedia.org/wiki/Beuningen_(Gelderland),51.85,5.75
39,Beverwijk,Restaurant,Shopping Mall,Kids Store,Clothing Store,Fast Food Restaurant,1,Noord-Holland,41075,18.57,2163.8,13300,https://nl.wikipedia.org/wiki/Beverwijk,52.486388888889,4.6563888888889
40,Binnenmaas,Creperie,Playground,Park,Supermarket,Drugstore,0,Zuid-Holland,29262,50.34,568.3,14600,https://nl.wikipedia.org/wiki/Binnenmaas,51.809166666667,4.5080555555556
41,Bladel,Restaurant,Italian Restaurant,Supermarket,Plaza,Drugstore,0,Noord-Brabant,20140,75.42,263.6,13000,https://nl.wikipedia.org/wiki/Bladel_(gemeente),51.366666666667,5.2166666666667
42,Blaricum,Farm,Restaurant,Snack Place,Park,Sandwich Place,4,Noord-Holland,11093,11.13,840.3,21500,https://nl.wikipedia.org/wiki/Blaricum,52.272777777778,5.2422222222222
43,Bloemendaal (Noord-Holland),Restaurant,Café,Coffee Shop,French Restaurant,Sandwich Place,4,Noord-Holland,23273,37.93,584.8,22400,https://nl.wikipedia.org/wiki/Bloemendaal_(Noord-Holland),52.402777777778,4.6280555555556
44,Bodegraven-Reeuwijk,Restaurant,Supermarket,Bakery,Park,Tennis Court,1,Zuid-Holland,34076,37.48,887.7,13500,https://nl.wikipedia.org/wiki/Bodegraven-Reeuwijk,52.061777777778,4.7268666666667
45,Boekel,Gym / Fitness Center,Restaurant,Snack Place,Supermarket,Plaza,5,Noord-Brabant,10543,34.51,295.2,12200,https://nl.wikipedia.org/wiki/Boekel_(gemeente),51.601111111111,5.6741666666667
46,Bonaire,Beach,Grocery Store,Bar,Hobby Shop,Beach Bar,2,Geen,15414,288.0,53.5,,https://nl.wikipedia.org/wiki/Bonaire,12.185277777778,-68.261944444444
47,Borger-Odoorn,Restaurant,Supermarket,Soccer Field,Resort,Hotel,5,Drenthe,25309,275.18,92.6,12200,https://nl.wikipedia.org/wiki/Borger-Odoorn,52.866666666667,6.85
48,Borne (Overijssel),Fast Food Restaurant,Flower Shop,Restaurant,Accessories Store,Sports Club,2,Overijssel,23186,26.0,852.5,13100,https://nl.wikipedia.org/wiki/Borne_(Overijssel),52.3,6.75
